"region";"kvartal";"Prisindeks for brukte boliger"
"Oslo med Bærum";"2001K3";42.1
"Oslo med Bærum";"2001K4";41.6
"Oslo med Bærum";"2002K1";43.8
"Oslo med Bærum";"2002K2";45.2
"Oslo med Bærum";"2002K3";44.3
"Oslo med Bærum";"2002K4";43.0
"Oslo med Bærum";"2003K1";43.3
"Oslo med Bærum";"2003K2";42.8
"Oslo med Bærum";"2003K3";43.8
"Oslo med Bærum";"2003K4";44.5
"Oslo med Bærum";"2004K1";46.6
"Oslo med Bærum";"2004K2";47.5
"Oslo med Bærum";"2004K3";48.7
"Oslo med Bærum";"2004K4";49.3
"Oslo med Bærum";"2005K1";51.2
"Oslo med Bærum";"2005K2";51.8
"Oslo med Bærum";"2005K3";53.1
"Oslo med Bærum";"2005K4";53.5
"Oslo med Bærum";"2006K1";56.5
"Oslo med Bærum";"2006K2";59.3
"Oslo med Bærum";"2006K3";62.4
"Oslo med Bærum";"2006K4";63.3
"Oslo med Bærum";"2007K1";67.2
"Oslo med Bærum";"2007K2";68.1
"Oslo med Bærum";"2007K3";67.9
"Oslo med Bærum";"2007K4";65.4
"Oslo med Bærum";"2008K1";66.1
"Oslo med Bærum";"2008K2";66.5
"Oslo med Bærum";"2008K3";64.7
"Oslo med Bærum";"2008K4";59.4
"Oslo med Bærum";"2009K1";61.8
"Oslo med Bærum";"2009K2";66.1
"Oslo med Bærum";"2009K3";69.0
"Oslo med Bærum";"2009K4";68.4
"Oslo med Bærum";"2010K1";69.7
"Oslo med Bærum";"2010K2";72.0
"Oslo med Bærum";"2010K3";73.2
"Oslo med Bærum";"2010K4";73.0
"Oslo med Bærum";"2011K1";77.3
"Oslo med Bærum";"2011K2";78.9
"Oslo med Bærum";"2011K3";80.3
"Oslo med Bærum";"2011K4";79.9
"Oslo med Bærum";"2012K1";82.7
"Oslo med Bærum";"2012K2";85.3
"Oslo med Bærum";"2012K3";87.6
"Oslo med Bærum";"2012K4";86.5
"Oslo med Bærum";"2013K1";89.2
"Oslo med Bærum";"2013K2";89.9
"Oslo med Bærum";"2013K3";88.2
"Oslo med Bærum";"2013K4";85.5
"Oslo med Bærum";"2014K1";87.0
"Oslo med Bærum";"2014K2";90.9
"Oslo med Bærum";"2014K3";92.2
"Oslo med Bærum";"2014K4";92.5
"Oslo med Bærum";"2015K1";97.4
"Oslo med Bærum";"2015K2";100.0
"Oslo med Bærum";"2015K3";101.6
"Oslo med Bærum";"2015K4";101.0
"Oslo med Bærum";"2016K1";106.5
"Oslo med Bærum";"2016K2";112.7
"Oslo med Bærum";"2016K3";119.9
"Oslo med Bærum";"2016K4";122.9
"Oslo med Bærum";"2017K1";128.9
"Oslo med Bærum";"2017K2";127.4
"Oslo med Bærum";"2017K3";122.2
"Oslo med Bærum";"2017K4";119.2
"Oslo med Bærum";"2018K1";122.6
"Oslo med Bærum";"2018K2";127.9
"Oslo med Bærum";"2018K3";127.1
"Oslo med Bærum";"2018K4";124.5
"Oslo med Bærum";"2019K1";128.3
"Oslo med Bærum";"2019K2";131.3
"Oslo med Bærum";"2019K3";131.8
"Oslo med Bærum";"2019K4";130.2
"Oslo med Bærum";"2020K1";132.2
"Oslo med Bærum";"2020K2";134.2
"Oslo med Bærum";"2020K3";136.2
"Oslo med Bærum";"2020K4";140.4
"Stavanger";"1992K1";0.0
"Stavanger";"1992K2";0.0
"Stavanger";"1992K3";0.0
"Stavanger";"1992K4";0.0
"Stavanger";"1993K1";0.0
"Stavanger";"1993K2";0.0
"Stavanger";"1993K3";0.0
"Stavanger";"1993K4";0.0
"Stavanger";"1994K1";0.0
"Stavanger";"1994K2";0.0
"Stavanger";"1994K3";0.0
"Stavanger";"1994K4";0.0
"Stavanger";"1995K1";0.0
"Stavanger";"1995K2";0.0
"Stavanger";"1995K3";0.0
"Stavanger";"1995K4";0.0
"Stavanger";"1996K1";0.0
"Stavanger";"1996K2";0.0
"Stavanger";"1996K3";0.0
"Stavanger";"1996K4";0.0
"Stavanger";"1997K1";0.0
"Stavanger";"1997K2";0.0
"Stavanger";"1997K3";0.0
"Stavanger";"1997K4";0.0
"Stavanger";"1998K1";0.0
"Stavanger";"1998K2";0.0
"Stavanger";"1998K3";0.0
"Stavanger";"1998K4";0.0
"Stavanger";"1999K1";0.0
"Stavanger";"1999K2";0.0
"Stavanger";"1999K3";0.0
"Stavanger";"1999K4";0.0
"Stavanger";"2000K1";0.0
"Stavanger";"2000K2";0.0
"Stavanger";"2000K3";0.0
"Stavanger";"2000K4";0.0
"Stavanger";"2001K1";0.0
"Stavanger";"2001K2";0.0
"Stavanger";"2001K3";0.0
"Stavanger";"2001K4";0.0
"Stavanger";"2002K1";0.0
"Stavanger";"2002K2";0.0
"Stavanger";"2002K3";0.0
"Stavanger";"2002K4";0.0
"Stavanger";"2003K1";0.0
"Stavanger";"2003K2";0.0
"Stavanger";"2003K3";0.0
"Stavanger";"2003K4";0.0
"Stavanger";"2004K1";0.0
"Stavanger";"2004K2";0.0
"Stavanger";"2004K3";0.0
"Stavanger";"2004K4";0.0
"Stavanger";"2005K1";48.5
"Stavanger";"2005K2";49.7
"Stavanger";"2005K3";50.1
"Stavanger";"2005K4";52.1
"Stavanger";"2006K1";57.1
"Stavanger";"2006K2";61.3
"Stavanger";"2006K3";64.7
"Stavanger";"2006K4";68.0
"Stavanger";"2007K1";73.7
"Stavanger";"2007K2";74.5
"Stavanger";"2007K3";76.2
"Stavanger";"2007K4";76.6
"Stavanger";"2008K1";78.6
"Stavanger";"2008K2";78.7
"Stavanger";"2008K3";75.1
"Stavanger";"2008K4";71.2
"Stavanger";"2009K1";72.4
"Stavanger";"2009K2";74.7
"Stavanger";"2009K3";77.6
"Stavanger";"2009K4";82.1
"Stavanger";"2010K1";85.6
"Stavanger";"2010K2";87.3
"Stavanger";"2010K3";88.5
"Stavanger";"2010K4";89.9
"Stavanger";"2011K1";94.5
"Stavanger";"2011K2";95.6
"Stavanger";"2011K3";96.7
"Stavanger";"2011K4";97.9
"Stavanger";"2012K1";99.7
"Stavanger";"2012K2";103.1
"Stavanger";"2012K3";106.0
"Stavanger";"2012K4";105.0
"Stavanger";"2013K1";107.1
"Stavanger";"2013K2";107.8
"Stavanger";"2013K3";105.7
"Stavanger";"2013K4";103.2
"Stavanger";"2014K1";101.2
"Stavanger";"2014K2";105.7
"Stavanger";"2014K3";104.8
"Stavanger";"2014K4";104.2
"Stavanger";"2015K1";103.3
"Stavanger";"2015K2";101.8
"Stavanger";"2015K3";99.2
"Stavanger";"2015K4";95.7
"Stavanger";"2016K1";92.7
"Stavanger";"2016K2";93.8
"Stavanger";"2016K3";93.8
"Stavanger";"2016K4";96.1
"Stavanger";"2017K1";97.7
"Stavanger";"2017K2";100.3
"Stavanger";"2017K3";96.6
"Stavanger";"2017K4";99.7
"Stavanger";"2018K1";98.0
"Stavanger";"2018K2";99.2
"Stavanger";"2018K3";97.7
"Stavanger";"2018K4";96.4
"Stavanger";"2019K1";98.2
"Stavanger";"2019K2";100.9
"Stavanger";"2019K3";98.6
"Stavanger";"2019K4";93.3
"Stavanger";"2020K1";99.4
"Stavanger";"2020K2";101.4
"Stavanger";"2020K3";103.4
"Stavanger";"2020K4";102.6
"Bergen";"1992K1";0.0
"Bergen";"1992K2";0.0
"Bergen";"1992K3";0.0
"Bergen";"1992K4";0.0
"Bergen";"1993K1";0.0
"Bergen";"1993K2";0.0
"Bergen";"1993K3";0.0
"Bergen";"1993K4";0.0
"Bergen";"1994K1";0.0
"Bergen";"1994K2";0.0
"Bergen";"1994K3";0.0
"Bergen";"1994K4";0.0
"Bergen";"1995K1";0.0
"Bergen";"1995K2";0.0
"Bergen";"1995K3";0.0
"Bergen";"1995K4";0.0
"Bergen";"1996K1";0.0
"Bergen";"1996K2";0.0
"Bergen";"1996K3";0.0
"Bergen";"1996K4";0.0
"Bergen";"1997K1";0.0
"Bergen";"1997K2";0.0
"Bergen";"1997K3";0.0
"Bergen";"1997K4";0.0
"Bergen";"1998K1";0.0
"Bergen";"1998K2";0.0
"Bergen";"1998K3";0.0
